Beds,Baths,TotalRooms,Area,Type,Address,Sector_or_Block,Region,Town,City,Price
3,3,6,1250,Apartment,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Block A,Chandrima Model Town,Mohammadpur,Dhaka,15000.0
3,4,7,2000,Apartment,"Sector 9, Uttara, Dhaka",Sector 9,Uttara,Uttara,Dhaka,35000.0
4,4,8,3200,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,250000.0
4,4,8,3200,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,250000.0
3,3,6,1200,Apartment,"Nasirabad Properties Residential Area, Khulshi, Chattogram",No Sector/Block,Nasirabad Properties Residential Area,Khulshi,Chattogram,25000.0
4,5,9,6300,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,400000.0
4,5,9,6300,Apartment,"Block K, Baridhara, Dhaka",Block K,Baridhara,Baridhara,Dhaka,350000.0
3,4,7,1407,Apartment,"Katashur, Mohammadpur, Dhaka",No Sector/Block,Katashur,Mohammadpur,Dhaka,27000.0
3,4,7,1850,Apartment,"Dhanmondi, Dhaka",No Sector/Block,Dhanmondi,Dhanmondi,Dhaka,60000.0
3,4,7,1850,Apartment,"Dhanmondi, Dhaka",No Sector/Block,Dhanmondi,Dhanmondi,Dhaka,60000.0
4,5,9,2500,Apartment,"Merul Badda, Badda, Dhaka",No Sector/Block,Merul Badda,Badda,Dhaka,70000.0
5,3,8,3000,Apartment,"Sector 3, Uttara, Dhaka",Sector 3,Uttara,Uttara,Dhaka,120000.0
3,2,5,1150,Apartment,"Katashur, Mohammadpur, Dhaka",No Sector/Block,Katashur,Mohammadpur,Dhaka,22000.0
2,2,4,900,Apartment,"PC Culture Housing, Mohammadpur, Dhaka",No Sector/Block,PC Culture Housing,Mohammadpur,Dhaka,15500.0
3,4,7,2200,Apartment,"Gulshan 2, Gulshan, Dhaka",No Sector/Block,Gulshan 2,Gulshan,Dhaka,95000.0
3,4,7,1975,Apartment,"Sector 4, Uttara, Dhaka",Sector 4,Uttara,Uttara,Dhaka,42000.0
3,3,6,1300,Apartment,"Section 2, Mirpur, Dhaka",No Sector/Block,Section 2,Mirpur,Dhaka,25000.0
3,4,7,1500,Apartment,"Shantinagar, Dhaka",No Sector/Block,Shantinagar,Shantinagar,Dhaka,40000.0
3,2,5,960,Apartment,"Pirerbag, Mirpur, Dhaka",No Sector/Block,Pirerbag,Mirpur,Dhaka,13000.0
3,2,5,960,Apartment,"Pirerbag, Mirpur, Dhaka",No Sector/Block,Pirerbag,Mirpur,Dhaka,13000.0
4,3,7,1400,Apartment,"Naya Paltan, Motijheel, Dhaka",No Sector/Block,Naya Paltan,Motijheel,Dhaka,40000.0
3,4,7,1450,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
3,4,7,2000,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,35000.0
2,2,4,950,Apartment,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",Block C,Bosila,Mohammadpur,Dhaka,18000.0
2,2,4,1100,Apartment,"Naya Paltan, Motijheel, Dhaka",No Sector/Block,Naya Paltan,Motijheel,Dhaka,22000.0
3,3,6,1200,Apartment,"Sector 13, Uttara, Dhaka",Sector 13,Uttara,Uttara,Dhaka,45000.0
